;Extracto rico;Fe(III);nZVI rico;
Wavelength [nm];Absorbance;absorbance;absorbance;
300.000;2.806198;2.891357;2.860947;
300.500;2.819916;2.897659;2.84111;
301.000;2.819046;2.89592;2.856171;
301.500;2.81308;2.836899;2.839539;
302.000;2.797958;2.876465;2.818207;
302.500;2.781982;2.821213;2.809082;
303.000;2.791214;2.819733;2.828461;
303.500;2.781281;2.821869;2.819489;
304.000;2.764008;2.8172;2.809555;
304.500;2.802536;2.795639;2.78833;
305.000;2.799698;2.790131;2.777832;
305.500;2.775406;2.782928;2.830002;
306.000;2.813324;2.880554;2.899292;
306.500;2.800262;2.844604;2.829376;
307.000;2.803452;2.85733;2.870499;
307.500;2.837769;2.846725;2.848907;
308.000;2.792007;2.856384;2.831085;
308.500;2.783615;2.857758;2.833603;
309.000;2.765625;2.852829;2.817352;
309.500;2.731766;2.862228;2.836029;
310.000;2.776642;2.770096;2.785263;
310.500;2.756134;2.787933;2.785873;
311.000;2.766861;2.783691;2.798477;
311.500;2.767792;2.811188;2.751251;
312.000;2.770081;2.763763;2.753571;
312.500;2.787018;2.788422;2.752792;
313.000;2.820313;2.730804;2.730194;
313.500;2.799408;2.754181;2.728531;
314.000;2.777695;2.751846;2.742767;
314.500;2.732681;2.757919;2.769363;
315.000;2.769592;2.73613;2.74942;
315.500;2.77803;2.736176;2.788437;
316.000;2.802017;2.738922;2.757889;
316.500;2.766281;2.760788;2.74559;
317.000;2.797104;2.743423;2.717728;
317.500;2.815475;2.702393;2.744339;
318.000;2.756714;2.726486;2.752762;
318.500;2.761154;2.704254;2.719193;
319.000;2.75798;2.732468;2.745148;
319.500;2.760117;2.727325;2.710037;
320.000;2.755402;2.762085;2.720703;
320.500;2.747375;2.727737;2.718597;
321.000;2.77182;2.726456;2.721436;
321.500;2.759521;2.745529;2.715042;
322.000;2.77124;2.703384;2.762985;
322.500;2.767776;2.715393;2.718704;
323.000;2.731369;2.713959;2.729645;
323.500;2.776733;2.711258;2.701477;
324.000;2.804459;2.723282;2.70871;
324.500;2.723526;2.731171;2.748932;
325.000;2.795303;2.734558;2.733643;
325.500;2.773712;2.710007;2.747131;
326.000;2.761124;2.722244;2.69751;
326.500;2.742065;2.724319;2.69429;
327.000;2.74794;2.745041;2.717529;
327.500;2.782623;2.726486;2.69693;
328.000;2.745911;2.707214;2.72821;
328.500;2.740326;2.702515;2.73735;
329.000;2.746735;2.700424;2.723175;
329.500;2.723938;2.723816;2.704926;
330.000;2.694946;2.684174;2.723511;
330.500;2.735352;2.7341;2.739594;
331.000;2.736496;2.740402;2.730896;
331.500;2.75351;2.692398;2.724319;
332.000;2.716934;2.703735;2.715378;
332.500;2.7155;2.720245;2.724197;
333.000;2.702606;2.690598;2.741226;
333.500;2.744919;2.740005;2.719528;
334.000;2.742569;2.7621;2.699249;
334.500;2.731689;2.724319;2.719131;
335.000;2.727463;2.733582;2.728027;
335.500;2.703308;2.7267;2.725952;
336.000;2.70694;2.697693;2.672455;
336.500;2.738129;2.69371;2.707458;
337.000;2.70549;2.749161;2.702118;
337.500;2.727386;2.712311;2.681671;
338.000;2.717514;2.720215;2.715591;
338.500;2.738541;2.740677;2.73703;
339.000;2.693375;2.774994;2.711472;
339.500;2.713318;2.731781;2.700821;
340.000;2.682831;2.731979;2.682816;
340.500;2.697678;2.710083;2.674744;
341.000;2.688492;2.681946;2.689804;
341.500;2.649429;2.672668;2.708496;
342.000;2.660706;2.663589;2.682571;
342.500;2.665695;2.682236;2.660812;
343.000;2.704895;2.71936;2.678085;
343.500;2.647995;2.669586;2.667831;
344.000;2.637238;2.66777;2.681992;
344.500;2.655487;2.629944;2.665985;
345.000;2.664398;2.699173;2.680862;
345.500;2.64978;2.692535;2.667068;
346.000;2.658691;2.682037;2.648849;
346.500;2.662033;2.645248;2.656357;
347.000;2.651886;2.651169;2.635727;
347.500;2.675949;2.652557;2.675156;
348.000;2.674973;2.656128;2.633575;
348.500;2.62764;2.642914;2.664932;
349.000;2.624908;2.649841;2.654144;
349.500;2.615829;2.650772;2.668777;
350.000;2.634583;2.645584;2.625839;
350.500;2.638275;2.652008;2.652985;
351.000;2.64563;2.628815;2.650879;
351.500;2.646851;2.619339;2.625397;
352.000;2.663376;2.63295;2.653824;
352.500;2.632813;2.649689;2.645874;
353.000;2.628311;2.640671;2.631989;
353.500;2.640778;2.662079;2.652542;
354.000;2.618149;2.649292;2.638245;
354.500;2.640182;2.632507;2.621735;
355.000;2.621109;2.641983;2.63739;
355.500;2.633469;2.64975;2.636581;
356.000;2.622025;2.658524;2.636169;
356.500;2.614914;2.641876;2.63652;
357.000;2.644501;2.637527;2.685135;
357.500;2.644409;2.649216;2.646759;
358.000;2.646439;2.665527;2.645828;
358.500;2.611221;2.653305;2.634354;
359.000;2.64444;2.656403;2.686462;
359.500;2.638794;2.641373;2.642319;
360.000;2.630188;2.654572;2.630661;
360.500;2.647064;2.613464;2.630615;
361.000;2.642212;2.631256;2.637177;
361.500;2.647797;2.645599;2.662155;
362.000;2.645935;2.658478;2.650635;
362.500;2.631317;2.67662;2.670334;
363.000;2.623199;2.657364;2.657349;
363.500;2.611847;2.649857;2.620453;
364.000;2.628555;2.654938;2.652817;
364.500;2.640549;2.657196;2.642059;
365.000;2.634827;2.615204;2.665375;
365.500;2.595657;2.604874;2.606964;
366.000;2.596252;2.59491;2.61731;
366.500;2.613373;2.596466;2.601929;
367.000;2.599991;2.595306;2.604736;
367.500;2.610474;2.592072;2.604782;
368.000;2.603577;2.612808;2.600739;
368.500;2.598038;2.58754;2.59256;
369.000;2.596252;2.584427;2.606201;
369.500;2.599014;2.613831;2.603241;
370.000;2.596893;2.602066;2.601624;
370.500;2.611786;2.588943;2.600388;
371.000;2.617081;2.605515;2.599014;
371.500;2.596375;2.597702;2.591217;
372.000;2.592407;2.578781;2.584686;
372.500;2.594284;2.590897;2.604401;
373.000;2.591736;2.597977;2.594833;
373.500;2.603943;2.574966;2.593521;
374.000;2.601074;2.588867;2.594849;
374.500;2.603867;2.578308;2.58989;
375.000;2.605118;2.573105;2.59491;
375.500;2.600967;2.585144;2.589706;
376.000;2.605545;2.568542;2.565857;
376.500;2.598251;2.576447;2.580841;
377.000;2.602844;2.598328;2.582657;
377.500;2.590286;2.579315;2.595581;
378.000;2.59169;2.573303;2.57811;
378.500;2.591965;2.56987;2.57872;
379.000;2.612274;2.596024;2.577805;
379.500;2.598709;2.595367;2.588882;
380.000;2.5896;2.587494;2.582855;
380.500;2.596588;2.592377;2.571548;
381.000;2.606857;2.583038;2.574982;
381.500;2.594101;2.574722;2.585434;
382.000;2.591049;2.58493;2.584351;
382.500;2.594238;2.581528;2.574814;
383.000;2.600174;2.573288;2.578491;
383.500;2.590225;2.574707;2.579025;
384.000;2.598648;2.571945;2.583984;
384.500;2.601395;2.577881;2.579254;
385.000;2.587204;2.584351;2.593124;
385.500;2.587494;2.585999;2.58902;
386.000;2.587387;2.582199;2.573212;
386.500;2.595261;2.571869;2.580978;
387.000;2.589951;2.575607;2.567902;
387.500;2.587418;2.576172;2.572922;
388.000;2.59729;2.574936;2.5802;
388.500;2.594635;2.578995;2.585693;
389.000;2.585419;2.575775;2.574753;
389.500;2.589401;2.579666;2.577484;
390.000;2.592041;2.574249;2.56955;
390.500;2.601593;2.567596;2.569611;
391.000;2.596237;2.576508;2.572311;
391.500;2.581009;2.577789;2.574677;
392.000;2.590012;2.56781;2.577377;
392.500;2.591003;2.574661;2.576416;
393.000;2.599136;2.580368;2.574371;
393.500;2.597443;2.578003;2.578415;
394.000;2.594315;2.578598;2.57132;
394.500;2.600235;2.567841;2.576614;
395.000;2.589844;2.577057;2.571487;
395.500;2.590637;2.576599;2.569763;
396.000;2.59021;2.577393;2.567993;
396.500;2.590866;2.576599;2.570541;
397.000;2.59436;2.58313;2.56459;
397.500;2.594299;2.579605;2.569016;
398.000;2.590363;2.569656;2.579041;
398.500;2.59166;2.575653;2.576187;
399.000;2.594894;2.573059;2.572327;
399.500;2.59462;2.578308;2.569;
400.000;2.591766;2.574203;2.570755;
400.500;2.589279;2.578613;2.573166;
401.000;2.599167;2.575668;2.566376;
401.500;2.599319;2.57811;2.574448;
402.000;2.596069;2.582794;2.574234;
402.500;2.590149;2.579407;2.578033;
403.000;2.600006;2.580811;2.568192;
403.500;2.595932;2.584;2.570068;
404.000;2.594147;2.583786;2.569382;
404.500;2.596405;2.580154;2.575439;
405.000;2.596039;2.581924;2.577087;
405.500;2.595688;2.581116;2.574158;
406.000;2.59407;2.587341;2.577133;
406.500;2.601578;2.584549;2.583725;
407.000;2.598175;2.587952;2.575272;
407.500;2.604019;2.589447;2.580078;
408.000;2.594696;2.588364;2.575363;
408.500;2.597748;2.583313;2.581299;
409.000;2.599319;2.581696;2.581238;
409.500;2.59903;2.579361;2.574951;
410.000;2.600601;2.577072;2.577606;
410.500;2.597214;2.577789;2.579773;
411.000;2.60051;2.577927;2.573608;
411.500;2.600647;2.570633;2.580658;
412.000;2.599792;2.564133;2.58374;
412.500;2.601852;2.559204;2.584137;
413.000;2.599854;2.552567;2.579651;
413.500;2.602997;2.542953;2.580856;
414.000;2.611115;2.529404;2.590546;
414.500;2.600845;2.521988;2.590637;
415.000;2.601166;2.502686;2.588821;
415.500;2.603439;2.487534;2.58606;
416.000;2.606262;2.453232;2.584656;
416.500;2.608154;2.411728;2.58403;
417.000;2.610001;2.388016;2.588852;
417.500;2.612854;2.361618;2.589783;
418.000;2.611832;2.336777;2.587067;
418.500;2.612488;2.302673;2.587082;
419.000;2.606644;2.27243;2.58876;
419.500;2.60849;2.239334;2.588715;
420.000;2.610657;2.204803;2.588364;
420.500;2.61113;2.168777;2.591919;
421.000;2.614731;2.127228;2.59053;
421.500;2.609894;2.094025;2.588043;
422.000;2.607971;2.054962;2.590424;
422.500;2.612;2.017578;2.594849;
423.000;2.611572;1.97963;2.594635;
423.500;2.612122;1.937363;2.599182;
424.000;2.611008;1.900345;2.598892;
424.500;2.614853;1.861725;2.596085;
425.000;2.615768;1.825272;2.59613;
425.500;2.620575;1.790802;2.599182;
426.000;2.611526;1.753784;2.60112;
426.500;2.612625;1.719299;2.603882;
427.000;2.61377;1.68573;2.600937;
427.500;2.615005;1.651474;2.600403;
428.000;2.615189;1.618805;2.598541;
428.500;2.616409;1.588303;2.603134;
429.000;2.615448;1.557892;2.604355;
429.500;2.617126;1.525894;2.602875;
430.000;2.618423;1.494644;2.603012;
430.500;2.615097;1.465485;2.600891;
431.000;2.619705;1.436768;2.60463;
431.500;2.618164;1.409515;2.602295;
432.000;2.622742;1.382751;2.609009;
432.500;2.617859;1.356628;2.60759;
433.000;2.621796;1.330765;2.610672;
433.500;2.621994;1.306046;2.610153;
434.000;2.620743;1.28241;2.610901;
434.500;2.622177;1.259979;2.60939;
435.000;2.622162;1.237823;2.61171;
435.500;2.624008;1.215851;2.611343;
436.000;2.620224;1.194244;2.610458;
436.500;2.624176;1.173141;2.612015;
437.000;2.619751;1.152786;2.614014;
437.500;2.620453;1.132996;2.615921;
438.000;2.622345;1.114349;2.614212;
438.500;2.622391;1.097504;2.620285;
439.000;2.623489;1.078934;2.617752;
439.500;2.621246;1.060883;2.617783;
440.000;2.624359;1.043182;2.616257;
440.500;2.622452;1.027451;2.617722;
441.000;2.623322;1.011536;2.617462;
441.500;2.621353;0.9958649;2.615921;
442.000;2.621613;0.981308;2.62175;
442.500;2.620773;0.9671173;2.618195;
443.000;2.618454;0.952179;2.619873;
443.500;2.621796;0.9380035;2.622818;
444.000;2.618851;0.9245453;2.62085;
444.500;2.619202;0.9111938;2.623474;
445.000;2.619064;0.8988953;2.623856;
445.500;2.621353;0.8860779;2.624252;
446.000;2.621414;0.87323;2.623032;
446.500;2.621155;0.8612213;2.624969;
447.000;2.616928;0.8491516;2.625656;
447.500;2.616302;0.8368225;2.6315;
448.000;2.618988;0.8260651;2.625275;
448.500;2.616333;0.814621;2.627609;
449.000;2.617722;0.8031006;2.631516;
449.500;2.615662;0.7924042;2.630188;
450.000;2.613739;0.7814026;2.628326;
450.500;2.614014;0.7703552;2.629272;
451.000;2.611588;0.7601624;2.630646;
451.500;2.610168;0.7509003;2.63031;
452.000;2.605865;0.7410431;2.632385;
452.500;2.603806;0.7312622;2.629944;
453.000;2.604462;0.7214203;2.631714;
453.500;2.603302;0.7123413;2.631088;
454.000;2.597534;0.7033386;2.63147;
454.500;2.598923;0.6944275;2.630692;
455.000;2.596924;0.6857605;2.631012;
455.500;2.595337;0.6770782;2.636017;
456.000;2.59137;0.6685028;2.633896;
456.500;2.588379;0.6599884;2.630264;
457.000;2.587616;0.6515808;2.634369;
457.500;2.57959;0.6435089;2.635742;
458.000;2.581116;0.6357422;2.635437;
458.500;2.57605;0.6283112;2.63443;
459.000;2.573044;0.6209717;2.636688;
459.500;2.571075;0.613739;2.636642;
460.000;2.568649;0.6066589;2.635132;
460.500;2.563583;0.5988312;2.633163;
461.000;2.55899;0.5918884;2.636063;
461.500;2.556137;0.5850983;2.634766;
462.000;2.552536;0.578598;2.635788;
462.500;2.547333;0.5715942;2.637238;
463.000;2.543152;0.5648041;2.636002;
463.500;2.539566;0.5583038;2.632782;
464.000;2.533691;0.5516815;2.634949;
464.500;2.529129;0.5452728;2.635208;
465.000;2.523712;0.5393829;2.636017;
465.500;2.517136;0.5328674;2.632126;
466.000;2.512421;0.5269928;2.633499;
466.500;2.505066;0.5209503;2.631058;
467.000;2.49791;0.5150909;2.63208;
467.500;2.495621;0.5094452;2.628891;
468.000;2.488663;0.5037537;2.627365;
468.500;2.482666;0.4983826;2.627518;
469.000;2.476913;0.4928284;2.627701;
469.500;2.470078;0.4874725;2.625931;
470.000;2.462219;0.4817657;2.624054;
470.500;2.458588;0.4765778;2.62326;
471.000;2.450256;0.4711151;2.621445;
471.500;2.443756;0.4662323;2.616089;
472.000;2.438141;0.4610138;2.615463;
472.500;2.430893;0.4562531;2.614227;
473.000;2.422623;0.4510498;2.609207;
473.500;2.416779;0.4464111;2.605881;
474.000;2.408463;0.4415131;2.600998;
474.500;2.40181;0.4369965;2.598724;
475.000;2.39418;0.4322968;2.595856;
475.500;2.387115;0.427948;2.591614;
476.000;2.379272;0.4235535;2.587524;
476.500;2.372665;0.4189911;2.581863;
477.000;2.364227;0.4147797;2.574966;
477.500;2.356674;0.4104156;2.568161;
478.000;2.348663;0.4062653;2.557358;
478.500;2.342117;0.4023132;2.551056;
479.000;2.332672;0.3978729;2.540405;
479.500;2.325806;0.3937683;2.530579;
480.000;2.317871;0.3897552;2.518677;
480.500;2.309708;0.3858643;2.504776;
481.000;2.302475;0.3816376;2.490509;
481.500;2.294388;0.3778687;2.47406;
482.000;2.286621;0.374054;2.457367;
482.500;2.278351;0.3702545;2.443649;
483.000;2.27002;0.3665009;2.42395;
483.500;2.263153;0.3627625;2.404449;
484.000;2.254333;0.3591614;2.385971;
484.500;2.247513;0.3556061;2.365158;
485.000;2.239151;0.3519745;2.343689;
485.500;2.231354;0.3484192;2.323334;
486.000;2.223251;0.3448029;2.300964;
486.500;2.215942;0.3413239;2.278275;
487.000;2.208191;0.3379364;2.256424;
487.500;2.200836;0.3344574;2.235504;
488.000;2.192398;0.3309479;2.213318;
488.500;2.185165;0.3274994;2.191849;
489.000;2.176971;0.3240356;2.171432;
489.500;2.169296;0.3206329;2.151413;
490.000;2.162781;0.3175354;2.134491;
490.500;2.155289;0.3143921;2.117233;
491.000;2.14798;0.3111115;2.100693;
491.500;2.14035;0.3079376;2.085541;
492.000;2.133255;0.3047638;2.07077;
492.500;2.126114;0.301651;2.057251;
493.000;2.118347;0.2983246;2.043793;
493.500;2.111313;0.2952271;2.031708;
494.000;2.104446;0.2922821;2.020828;
494.500;2.097733;0.2892914;2.010132;
495.000;2.090652;0.2860565;1.998856;
495.500;2.083893;0.2828674;1.987869;
496.000;2.076538;0.279953;1.978302;
496.500;2.069824;0.2769012;1.968231;
497.000;2.062714;0.2737732;1.957779;
497.500;2.055984;0.2707672;1.947891;
498.000;2.049438;0.2679596;1.938889;
498.500;2.043091;0.2648926;1.929382;
499.000;2.036148;0.2617035;1.919434;
499.500;2.029007;0.2586212;1.910141;
500.000;2.022858;0.2557526;1.901489;
500.500;2.015945;0.2529449;1.893173;
501.000;2.00943;0.2500305;1.885086;
501.500;2.003357;0.2471008;1.876221;
502.000;1.996658;0.2441559;1.867874;
502.500;1.989716;0.2412262;1.859375;
503.000;1.983368;0.238266;1.850845;
503.500;1.977173;0.2354889;1.842514;
504.000;1.971649;0.2329559;1.834366;
